Base Candidate:	 You are an expert in identifying potentially unfair clauses in terms of service documents . Answer 'Yes' or 'No' only . Is the following sentence a potentially unfair clause?
Base Score:	 59.034181947937014

Running step:	 0
Performing edit:	 del
Generated candidate:	 You are an expert in identifying potentially unfair clauses in terms of service documents . Answer 'Yes' or 'No' only . Is the following sentence a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You or . Answer 'Yes' or 'No' only . Is the following sentence a potentially unfair clause?
Performing edit:	 del
Generated candidate:	 You are an expert in identifying potentially unfair clauses in terms of service documents . Answer 'Yes' or 'No' only .  the following sentence a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You are an expert in identifying potentially unfair clauses in terms of service documents . Answer 'Yes' or 'No' only . Is the following sentence a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You are an expert in identifying potentially unfair clauses in terms of service documents . Answer 'Yes' or 'No' only . Answer 'Yes ' the following sentence a potentially unfair clause?
Score for Candidate 0:	 25.480116670092563
Score for Candidate 1:	 81.92346967089962
Score for Candidate 2:	 30.833469670899614
Score for Candidate 3:	 58.669249912727096
Score for Candidate 4:	 71.83953317447474

New Candidate Found
New Candidate Index:	 1
New Candidate:	 You or . Answer 'Yes' or 'No' only . Is the following sentence a potentially unfair clause?
New Candidate Score:	 81.92346967089962
New Candidate Edit:	 swap

Running step:	 1
Performing edit:	 del
Generated candidate:	 You  . Answer 'Yes'  'No' only . Is the following sentence a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You Or is it? . Answer 'Yes' Or is it? 'No' only . Is the following sentence a potentially unfair clause?
Performing edit:	 del
Generated candidate:	  or . Answer 'Yes' or 'No' only . Is the following sentence a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You or . Answer 'Yes' or 'No' only . or the following sentence a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You only . Answer 'Yes' only 'No' only . Is the following sentence a potentially unfair clause?
Score for Candidate 0:	 46.169249912727096
Score for Candidate 1:	 25.606698794013433
Score for Candidate 2:	 61.923469670899614
Score for Candidate 3:	 40.019533174474745
Score for Candidate 4:	 54.923469670899614

Running step:	 2
Performing edit:	 swap
Generated candidate:	 You or . Answer 'Yes' or 'No' a potentially unfair clause . Is the following sentence a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You Either way, or . Answer 'Yes' Either way, or 'No' only . Is the following sentence a potentially unfair clause?
Performing edit:	 del
Generated candidate:	 You or . Answer 'Yes' or 'No' only . Is  a potentially unfair clause?
Performing edit:	 del
Generated candidate:	 You or . Answer 'Yes' or 'No' only . Is the following sentence a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You or . Answer 'Yes' or 'No' only . Is the following sentence the following sentence?
Score for Candidate 0:	 64.42346967089962
Score for Candidate 1:	 53.949441477341736
Score for Candidate 2:	 87.98011667009257
Score for Candidate 3:	 60.43869457572426
Score for Candidate 4:	 60.52011667009256

New Candidate Found
New Candidate Index:	 2
New Candidate:	 You or . Answer 'Yes' or 'No' only . Is  a potentially unfair clause?
New Candidate Score:	 87.98011667009257
New Candidate Edit:	 del

Running step:	 3
Performing edit:	 add
Generated candidate:	 You or . Answer 'Yes' or 'No the following sentence' only . Is a potentially unfair clause?
Performing edit:	 del
Generated candidate:	 You  . Answer 'Yes'  'No' only . Is a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You or . Answer 'Yes' or 'Not at all.'' only . Is a potentially unfair clause?
Performing edit:	 del
Generated candidate:	 You or . Answer 'Yes' or ' only . Is a potentially unfair clause?
Performing edit:	 add
Generated candidate:	 the following sentence You or . Answer 'Yes' or 'No' only . Is a potentially unfair clause?
Score for Candidate 0:	 46.73011667009256
Score for Candidate 1:	 61.4092499127271
Score for Candidate 2:	 60.92953317447474
Score for Candidate 3:	 42.66769371768588
Score for Candidate 4:	 61.26869457572426

Running step:	 4
Performing edit:	 sub
Generated candidate:	 You or . Answer 'Yes' or 'No' only . Is There is a clause that could be unfair?
Performing edit:	 add
Generated candidate:	 You or . Answer 'Yes' or 'No' only the following sentence . Is a potentially unfair clause?
Performing edit:	 del
Generated candidate:	  or . Answer 'Yes' or 'No' only . Is a potentially unfair clause?
Performing edit:	 add
Generated candidate:	 You or the following sentence . Answer 'Yes' or the following sentence 'No' only . Is a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
Score for Candidate 0:	 25.480116670092563
Score for Candidate 1:	 43.010799280869726
Score for Candidate 2:	 58.054181947937025
Score for Candidate 3:	 23.20418194793702
Score for Candidate 4:	 95.09079928086973

New Candidate Found
New Candidate Index:	 4
New Candidate:	 You or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
New Candidate Score:	 95.09079928086973
New Candidate Edit:	 sub

Running step:	 5
Performing edit:	 add
Generated candidate:	 Youthe following sentence or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
Performing edit:	 del
Generated candidate:	 You  . Answer 'Yes'  'No' Only once . Is a potentially unfair clause?
Performing edit:	 add
Generated candidate:	 You or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You Only once . Answer 'Yes' Only once 'No' Only once . Is a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You, you or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
Score for Candidate 0:	 46.48869457572426
Score for Candidate 1:	 59.75669879401343
Score for Candidate 2:	 96.67402423538188
Score for Candidate 3:	 46.06669879401343
Score for Candidate 4:	 89.34011667009257

New Candidate Found
New Candidate Index:	 2
New Candidate:	 You or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
New Candidate Score:	 96.67402423538188
New Candidate Edit:	 add

Running step:	 6
Performing edit:	 swap
Generated candidate:	 Only once or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You You . Answer 'Yes' You 'No' Only once . Is a potentially unfair clause?
Performing edit:	 del
Generated candidate:	 You or . Answer 'Yes' or ' Only once . Is a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You Or something else . Answer 'Yes' Or something else 'No' Only once . Is a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You Or something similar . Answer 'Yes' Or something similar 'No' Only once . Is a potentially unfair clause?
Score for Candidate 0:	 65.79669879401342
Score for Candidate 1:	 48.924181947937015
Score for Candidate 2:	 76.98418194793702
Score for Candidate 3:	 79.77929800252373
Score for Candidate 4:	 71.14953317447474

Running step:	 7
Performing edit:	 sub
Generated candidate:	 You Or maybe . Answer 'Yes' Or maybe 'No' Only once . Is a potentially unfair clause?
Performing edit:	 swap
Generated candidate:	 You or . Answer 'Yes' or 'No' or . Is a potentially unfair clause?
Performing edit:	 del
Generated candidate:	 You or . Answer 'Yes' or 'No' Only once .  a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You Either way, or . Answer 'Yes' Either way, or 'No' Only once . Is a potentially unfair clause?
Performing edit:	 sub
Generated candidate:	 You or . Answer 'Yes' or 'No' Only once . Is a potentially unfair clause?
